2026-04-22T21:00:17.428968665Z 2026-04-22 21:00:17,428 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T21:00:20.227348838Z 2026-04-22 21:00:20,227 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T21:00:22.974136145Z 2026-04-22 21:00:22,973 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T21:00:31.102938758Z 2026-04-22 21:00:31,102 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T21:00:33.877714196Z 2026-04-22 21:00:33,877 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T21:00:35.088764217Z 2026-04-22 21:00:35,088 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T21:00:37.819536802Z 2026-04-22 21:00:37,819 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T22:00:09.989810491Z 2026-04-22 22:00:09,989 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T22:00:10.912045002Z 2026-04-22 22:00:10,911 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T22:00:13.656849705Z 2026-04-22 22:00:13,656 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T22:00:14.563331150Z 2026-04-22 22:00:14,563 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T22:00:17.168585041Z 2026-04-22 22:00:17,168 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T22:00:23.272575769Z 2026-04-22 22:00:23,272 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T22:00:24.496495254Z 2026-04-22 22:00:24,496 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T22:00:29.820359384Z 2026-04-22 22:00:29,820 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
2026-04-22T22:00:36.489558780Z 2026-04-22 22:00:36,489 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T23:00:15.944190262Z 2026-04-22 23:00:15,944 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'LINKUSDT': '0.0080'} | corr_pairs=0
2026-04-22T23:00:22.082937938Z 2026-04-22 23:00:22,082 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 1 after filter | vols={'BNBUSDT': '0.0052', 'LINKUSDT': '0.0080'} | corr_pairs=1
2026-04-22T23:00:35.019296612Z 2026-04-22 23:00:35,019 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-22T23:00:40.375631194Z 2026-04-22 23:00:40,375 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T00:00:15.748092542Z 2026-04-23 00:00:15,748 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T00:00:28.279906715Z 2026-04-23 00:00:28,279 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T00:00:33.571403541Z 2026-04-23 00:00:33,571 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T00:00:36.185144529Z 2026-04-23 00:00:36,185 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T00:00:41.419109512Z 2026-04-23 00:00:41,419 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T01:00:15.960987475Z 2026-04-23 01:00:15,960 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T01:00:20.392517208Z 2026-04-23 01:00:20,392 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T01:00:33.702302264Z 2026-04-23 01:00:33,702 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T02:00:16.090884157Z 2026-04-23 02:00:16,090 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T02:00:29.402873714Z 2026-04-23 02:00:29,402 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T02:00:32.103273900Z 2026-04-23 02:00:32,103 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T02:00:34.767907344Z 2026-04-23 02:00:34,767 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T02:00:37.420674473Z 2026-04-23 02:00:37,420 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T03:00:16.640989492Z 2026-04-23 03:00:16,640 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T03:00:20.292285930Z 2026-04-23 03:00:20,292 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T03:00:25.603757254Z 2026-04-23 03:00:25,603 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T04:00:18.594346413Z 2026-04-23 04:00:18,594 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T04:00:31.826433085Z 2026-04-23 04:00:31,826 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
2026-04-23T04:00:34.539303892Z 2026-04-23 04:00:34,539 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 1 after filter | vols={'BNBUSDT': '0.0052'} | corr_pairs=0
